record - leader,001,008,035,040,System Control Number,245,Title Information,260,Publication Information,310,Current Publication Frequency,336,337,338,653,650,710,264,996,998,500,856,247,580,775,300,490,700,773,991,022,250,981,692,246,900,505,210,340,982,321,130,041,655,546,983,966,110,665,711
00630nas  2200205u  4500,9925068050101480,031021q19791982be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002506805LBS01-Aleph^$ $ $a9917929^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925068050101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aGaverbode.,Gaverbode.,^$ $ $aGavere$ $ $bCVP. Groot Gavere$ $ $c[1979]-[1982],Gavere,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aCVP. Groot Gavere$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,CVP. Groot Gavere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00661nas  2200205u  4500,9925135440101480,031117q19771983be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002513544LBS01-Aleph^$ $ $a9950552^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925135440101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aDavidsfonds Steenhuize-Wijnhuize.,Davidsfonds Steenhuize-Wijnhuize.,^$ $ $aSteenhuize$ $ $bDavidsfonds$ $ $c[1977]-[1983],Steenhuize,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$2$ $aDavidsfonds Steenhuize-Wijnhuize$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Davidsfonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1983],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00676nas  2200205u  4500,9925230490101480,031218q19761980it br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002523049LBS01-Aleph^$ $ $a9992877^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925230490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aDialoog.,Dialoog.,^$ $ $aRome$ $ $bConférence mondiale des instituts séculiers$ $ $c1976-[1980],Rome,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aConférence mondiale des instituts séculiers$ $ $4oth
,,,,,Language of cataloging varies,,,,Conférence mondiale des instituts séculiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00637nas  2200205u  4500,9925233860101480,031219q19791981be qr|p||     0|||a|eng c,^$ $ $a(BeLVLBS)002523386LBS01-Aleph^$ $ $a9994258^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925233860101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aP.A.N.,P.A.N.,^$ $ $aAntwerp$ $ $bNonviolent alternatives$ $ $c1979-[1981],Antwerp,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),^$2$ $aNonviolent alternatives$ $ $4oth,,^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Nonviolent alternatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-[1981],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00673nas  2200205u  4500,9925588450101480,040510q19761978be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002558845LBS01-Aleph^$ $ $a10159855^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925588450101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$3$aLe courrier des amis du Val Dieu.,Le courrier des amis du Val Dieu.,^$ $ $aAubel$ $ $bAbbaye Notre-Dame du Val-Dieu$ $ $c[1976]-[1978],Aubel,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aAbbaye Notre-Dame du Val-Dieu$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Abbaye Notre-Dame du Val-Dieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1976]-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00990nas  2200301u  4500,9925972070101480,040930c19779999be wr|n||     0|||a|fre c,^$ $ $a(BeLVLBS)002597207LBS01-Aleph^$ $ $a10322812^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9925972070101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFamille chrétienne$ $ $bhebdomadaire familial catholique.,Famille chrétienne,,,^$ $ $aWeekly,Weekly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aNewspapers^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aEDIFA$ $ $bBruxelles$ $ $4oth,^$ $1$c1977-^$ $1$aBruxelles$ $ $bEDIFA^$ $1$aParis$ $ $bEDIFA$ $ $c1977-,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.az,^$ $ $aWith: Supplément mensuel de l'hebdomadaire / Le mois famille chrétienne^$ $ $aWith: Présences : supplément de Famille chrétienne,,,,,,,,,,^$ $ $a01546821,,,,^$1$3$aHebdo famille chrétienne,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,hebdomadaire familial catholique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00630nas  2200193u  4500,9926010980101480,041012d19799999be ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002601098LBS01-Aleph^$ $ $a10339944^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926010980101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFeuillets de contact de l'aumônerie.,Feuillets de contact de l'aumônerie.,^$ $ $aBruxelles$ $ $bFeuillets de contact de l'aumônerie$ $ $c[1979]-?,Bruxelles,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Feuillets de contact de l'aumônerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00688nas  2200217u  4500,9926021900101480,041014q19781980be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002602190LBS01-Aleph^$ $ $a10344577^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926021900101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aMichielke.,Michielke.,^$ $ $aHasselt$ $ $bSint-Michielsdomein$ $ $c1978-[1980],Hasselt,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC7$ $ $xJeugd en sport$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $ajeugdbewegingen$ $ $6(ODIS-TW)951,^$2$ $aSint-Michielsdomein Hasselt$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Sint-Michielsdomein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1978-[1980],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00684nas  2200229u  4500,9926056740101480,041025q19772000be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002605674LBS01-Aleph^$ $ $a10358841^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926056740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aAIEMPR. Bulletin.,AIEMPR. Bulletin.,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),^$2$ $aAIEMPR.$ $ $4oth,^$ $1$c[1976]-[2000]^$ $1$aBrussel$ $ $bAIEMPR$ $ $3[1976]-[2000],^$ $ $aKADOC$ $ $bphysical$ $ $c202106$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aOverwegend Franse tekst,,,,,
,,,,,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00907nas  2200253u  4500,9926086090101480,041105q19771978ja tr|p||     0|||a|eng c,^$ $ $a(BeLVLBS)002608609LBS01-Aleph^$ $ $a10371448^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926086090101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aCICM. Asian contacts /$ $ $ced. Raymond Renson.,CICM. Asian contacts /,^$ $ $aTokyo$ $ $bOriens institute for religious research$ $ $c1977-[1978],Tokyo,^$ $ $aThree times a year,Three times a year,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aOriens institute for religious research$ $ $4oth^$2$ $aCICM Scheut$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $ $aCongregation of the Immaculate Heart of Mary,,,,,,,"^$1$ $aRenson, Raymond$ $ $cCICM$ $ $d1925-2003$ $ $4edt",,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,ed. Raymond Renson.,,Oriens institute for religious research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1977-[1978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01137nas  2200301u  4500,9926086480101480,041105q19781993cm qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002608648LBS01-Aleph^$ $ $a10371612^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926086480101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aTrait d'union Y-Y.,Trait d'union Y-Y.,,,^$ $ $aOther$ $ $bvijf keer per jaar,Other$ $ $bvijf keer per jaar,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissieverenigingen$ $ $6(ODIS-TW)2443^$ $7$2KADOC$ $ $alevensbeschouwing$ $ $6(ODIS-TW)2799^$ $7$2KADOC$ $ $aKameroen [land in werelddeel Afrika]$ $ $6(ODIS-GEO)40240023001557,^$2$ $aCICM Scheut$ $ $4oth^$2$ $aScheutisten - Kameroense provincie$ $ $4oth,^$ $1$aYaounde-Messa$ $ $bMaison Provinciale C.I.C.M. Cameroun$ $ $c[1978]-[1994],,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $ $aCongrégation du Coeur Immaculé de Marie,,,,,,,"^$1$ $aPirenne, Roger$ $ $4ctb^$1$ $aSoete, Jean-Claude$ $ $4edt$ $ $31984-1988^$1$ $aPycke, Nestor$ $ $cC.I.C.M.$ $ $d1930-2020$ $ $4add$ $ $31994",,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00756nas  2200241u  4500,9926086810101480,041105q19781993cm qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002608681LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926086810101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aIxim$ $ $bBoletin provincial CICM.,Ixim,^$ $ $c1977-[1988]^$ $ $aGuatemala$ $ $bCICM.,,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aCICM Scheut$ $ $4oth,,,,^$ $ $aCongregatie van het Onbevlekt Hart van Maria,,,,,,,,,,,,,,"^$1$1$aMaiz, en las lenguas mayas",,,,,,,,,,,,,,,
,,,,,,,Boletin provincial CICM.,,1977-[1988]Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,CICM.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00679nas  2200217u  4500,9926113430101480,041116d19799999be br|p||     0|||a|dut c,^$ $ $a(BeLVLBS)002611343LBS01-Aleph^$ $ $a10381704^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926113430101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aGuate nieuwsbrief.,Guate nieuwsbrief.,^$ $ $aGent$ $ $bOxfam-Wereldwinkels$ $ $c1979-?,Gent,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aOxfam-Wereldwinkels$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Oxfam-Wereldwinkels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1979-?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00998nas  2200277u  4500,9926131600101480,041122d19761988cg zr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002613160LBS01-Aleph^$ $ $a10388213^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926131600101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aMokoto : Buzala /$ $ $ced. Willy Vanhaelewyn.,Mokoto : Buzala /,^$ $ $aProvince Budjala$ $ $bGemena&delete&$ $ $bCICM$ $ $c1976-1988,Province Budjala,^$ $ $aIrregular,Irregular,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $aCongo [historische term land Congo -CG]$ $ $6(ODIS-GEO)40240023003539,^$2$ $aCICM Scheut$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $ $aCongrégation du Coeur Immaculé de Marie^$ $ $afrequentie varieert,,,^$ $ $aDevient: Le Calao du Nord-Congo,,,,"^$1$ $aVanhaelewyn, Willy$ $ $cC.I.C.M.$ $ $d1939-$ $ $4edt",,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,ed. Willy Vanhaelewyn.,,Gemena&delete&,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,CICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1976-1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00761nas  2200241u  4500,9926133000101480,041122q19762007be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002613300LBS01-Aleph^$ $ $a10388788^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926133000101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aMarriage encounter.,Marriage encounter.,^$ $ $aBouffioulx$ $ $bMarriage encounter$ $ $c1976-[2007],Bouffioulx,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,"^$ $7$2KADOC$ $ $aC6$ $ $xOpvoeding, onderwijs, wetenschap$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aonderwijs$ $ $6(ODIS-TW)2803",^$2$ $aMarriage encounter$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aTexte français,,,,,
,,,,,Language of cataloging varies,,,,Marriage encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[2007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00948nas  2200277u  4500,9926157730101480,041129q19761988cc ar|p||     0|||a|eng c,^$ $ $a(BeLVLBS)002615773LBS01-Aleph^$ $ $a10398514^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926157730101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aFamily Pedicab.,Family Pedicab.,^$ $ $aSinica Province$ $ $bCICM$ $ $c1976-[1988],Sinica Province,^$ $ $aAnnual,Annual,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319^$ $7$2KADOC$ $ $aChina [land in werelddeel Azië]$ $ $6(ODIS-GEO)40240023001513,^$2$ $aCICM Scheut$ $ $4oth,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,^$ $ $aCongregation of the Immaculate Heart of Mary,,,^$ $ $aSupplement op Pedicab,,,,,^$1$8$w(BeLVLBS)002615755LBS01-Aleph$ $ $tPedicab$ $ $4772,,,,,,,,,,,,,,,,"^$ $ $aEngels, Frans en Nederlands",,,,,
,,,,,Language of cataloging varies,,,,CICM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,1976-[1988],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00661nas  2200217u  4500,9926186590101480,041207q19781993cg br|p||     0|||a|und c,^$ $ $a(BeLVLBS)002618659LBS01-Aleph^$ $ $a10409638^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926186590101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aTinda Biso.,Tinda Biso.,^$ $ $aKinshasa$ $ $bTinda Biso$ $ $c[1978]-[1993],Kinshasa,^$ $ $aBimonthly,Bimonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,,,^$ $ $aKADOC$ $ $bphysical$ $ $3202101$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Tinda Biso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1978]-[1993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01183nas  2200337u  4500,9926198120101480,041207q19781993cg br|p||     0|||a|und c,^$ $ $a(BeLVLBS)002619812LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926198120101471$ $ $bLanguage of cataloging varies$ $ $erda based,,,^$0$0$aSimiles$ $ $61295161,Similes$ $ $61295161,,,^$ $ $aQuarterly,Quarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $2$aPublic Health^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $asociaal beleid$ $ $6(ODIS-TW)1835^$ $7$2UCLL$ $ $aKOPP (kinderen van ouders met psychiatrische problemen)^$ $7$2UCLL$ $ $aTijdschriften SAW^$ $7$2UCLL$ $ $apsychiatrie^$ $7$2UCLL$ $ $apsychiatrische patiënt^$ $7$2UCLL$ $ $aFamilie$ $ $eVlacc^$ $7$2UCLL$ $ $aGeestelijke gezondheidszorg$ $ $eVlacc^$ $7$2UCLL$ $ $aPsychiatrische patiënten$ $ $eVlacc^$ $7$2UCLL$ $ $apsychiatrisch maatschappelijk werk$ $ $x616.5$ $ $eTSS,,^$ $1$c1977-^$ $1$aHeverlee$ $ $bFederatie van Vlaamse Simileskringen,^$ $ $aKADOC$ $ $bphysical$ $ $c201503,,,,,,,,,,,,,,,,,,,,,^$ $ $abetalend,,,,,,,,,,
00767nas  2200217u  4500,9926225320101480,041221q19791982be mr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002622532LBS01-Aleph^$ $ $a10423949^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926225320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aSt François-Xavier Cureghem$ $ $bbulletin mensuel de la paroisse St-François-Xavier.,St François-Xavier Cureghem,^$ $ $aAnderlecht$ $ $bParoisse St François-Xavier$ $ $c[1979]-[1982],Anderlecht,^$ $ $aMonthly,Monthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),"^$2$ $aAnderlecht, Paroisse St François-Xavier$ $ $4oth",,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,bulletin mensuel de la paroisse St-François-Xavier.,,Paroisse St François-Xavier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1979]-[1982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00624nas  2200193u  4500,9926225990101480,041221q19771979be ur|p||     0|||a|fre c,^$ $ $a(BeLVLBS)002622599LBS01-Aleph^$ $ $a10424167^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9926225990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,BeLVLBS,^$0$0$aChronique paroissiale des Saints Anges.,Chronique paroissiale des Saints Anges.,^$ $ $aBruxelles$ $ $bChronique paroissiale des Saints Anges$ $ $c[1977]-[1979],Bruxelles,^$ $ $aUnknown,Unknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Language of cataloging varies,,,,Chronique paroissiale des Saints Anges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,rda based,,,,[1977]-[1979],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
